ts_us,channel,len,rssi,mac_hash,eapol,head
490259,1,28,-91,20bdbf5ac9ae6de6,0,48113c00f2823d9fb942aea6473ab432
517923,1,246,-74,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
529624,1,250,-74,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
546786,1,210,-74,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
564316,1,210,-82,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
581330,1,246,-81,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
598607,1,250,-82,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
615879,1,210,-79,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
633152,1,246,-79,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
650423,1,250,-78,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
668179,1,98,-78,e8c5cf156aff9e47,0,08420000fffffffffffff2823d9fb944
684975,1,98,-70,8cbb08cc76c4731b,0,08420000ffffffffffffb2823d9fb1dc
702242,1,249,-93,720b2f74b4b0e00b,0,80000000ffffffffffff203706ab5e82
719689,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
737175,1,106,-76,e8c5cf156aff9e47,0,8842300054f15f92554cf2823d9fb944
754583,1,204,-92,8c6255171cd63f97,0,50003a0124e853873ebc32823d9fc366
772028,1,204,-93,8c6255171cd63f97,0,50083a0124e853873ebc32823d9fc366
789472,1,204,-94,8c6255171cd63f97,0,50083a0124e853873ebc32823d9fc366
806924,1,246,-87,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
824365,1,204,-93,8c6255171cd63f97,0,50083a0124e853873ebc32823d9fc366
842215,1,124,-71,98240d6dced69540,0,0802000001005e0000fbb2823d9fb1dd
859262,1,144,-72,98240d6dced69540,0,080200003333000000fbb2823d9fb1dd
876707,1,124,-79,a8da6782170c335b,0,0802000001005e0000fbf2823d9fb942
894152,1,144,-79,a8da6782170c335b,0,080200003333000000fbf2823d9fb942
911598,1,249,-88,720b2f74b4b0e00b,0,80000000ffffffffffff203706ab5e82
929043,1,246,-78,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
946494,1,250,-75,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
963935,1,210,-76,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
981383,1,28,-94,20bdbf5ac9ae6de6,0,48013c00f2823d9fb942aea6473ab432
998652,1,210,-86,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
1016508,1,204,-72,98240d6dced69540,0,50083a01de2eef298291b2823d9fb1dd
1033720,1,204,-72,98240d6dced69540,0,50083a01de2eef298291b2823d9fb1dd
1051341,1,204,-73,98240d6dced69540,0,50003a014e58979b8d8bb2823d9fb1dd
1068960,1,204,-74,98240d6dced69540,0,50083a014e58979b8d8bb2823d9fb1dd
1086584,1,123,-76,a8da6782170c335b,0,080200003333000000fbf2823d9fb942
1104199,1,204,-84,8c6255171cd63f97,0,50083a01de2eef29829132823d9fc366
1121820,1,204,-85,8c6255171cd63f97,0,50083a01de2eef29829132823d9fc366
1139439,1,204,-75,98240d6dced69540,0,50083a014e58979b8d8bb2823d9fb1dd
1157065,1,210,-75,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
1174690,1,204,-83,8c6255171cd63f97,0,50003a014e58979b8d8b32823d9fc366
1192706,1,246,-75,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
1209917,1,250,-75,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
1227542,1,210,-75,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
1245159,1,210,-87,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
1262781,1,246,-87,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
1280397,1,250,-88,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
1298025,1,210,-74,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
1315636,1,246,-74,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
1333258,1,250,-74,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
1350924,1,371,-76,98240d6dced69540,0,0802000001005e0000fbb2823d9fb1dd
1369887,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1386252,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1403739,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1421358,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1438976,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1456599,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1474219,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1491837,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1509458,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1527822,1,106,-76,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1545810,6,210,-50,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
1563059,6,246,-50,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
1580680,6,250,-50,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
1598300,6,254,-85,a8e68be227b73f34,0,80000000ffffffffffff0cefafc31644
1615920,6,211,-82,6a9bd343d01f977c,0,80000000fffffffffffff2823d9fc3f2
1633541,6,246,-82,0783e62878fc71a6,0,80000000fffffffffffff2823d9fc3f3
1651159,6,210,-47,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
1668779,6,246,-45,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
1686399,6,250,-45,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
1704411,6,211,-81,6a9bd343d01f977c,0,80000000fffffffffffff2823d9fc3f2
1721636,6,246,-82,0783e62878fc71a6,0,80000000fffffffffffff2823d9fc3f3
1739257,6,34,-80,6e8fb524b5e043bc,0,b000d40038a5c9746835f2823d9fc3f4
1756702,6,34,-81,6e8fb524b5e043bc,0,b008d40038a5c9746835f2823d9fc3f4
1774149,6,34,-80,6e8fb524b5e043bc,0,b008d40038a5c9746835f2823d9fc3f4
1791595,6,34,-49,19fdc1c705a9a866,0,b000d40038a5c974683532823d9fb348
1809042,6,34,-79,6e8fb524b5e043bc,0,b008d40038a5c9746835f2823d9fc3f4
1826488,6,34,-79,6e8fb524b5e043bc,0,b008d40038a5c9746835f2823d9fc3f4
1843933,6,34,-49,76e24379c30bf675,0,b000d40038a5c974683532823d9fb347
1861380,6,210,-50,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
1879403,6,210,-51,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
1896619,6,246,-52,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
1914240,6,250,-51,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
1931860,6,150,-50,76e24379c30bf675,0,0842000033330001000232823d9fb347
1949481,6,211,-82,6a9bd343d01f977c,0,80000000fffffffffffff2823d9fc3f2
1967102,6,246,-81,0783e62878fc71a6,0,80000000fffffffffffff2823d9fc3f3
1984729,6,250,-82,6e8fb524b5e043bc,0,80000000fffffffffffff2823d9fc3f4
2002340,6,210,-88,f5006ef86f722813,0,80000000ffffffffffffd2823d9fb900
2019960,6,246,-88,fde3139aa6701fdc,0,80000000ffffffffffffd2823d9fb901
2037579,6,250,-88,e6ea4c9008b6f5b3,0,80000000ffffffffffffd2823d9fb902
2055598,6,204,-53,f2699bba2ba23cf1,0,50003a017c214a110aad32823d9fb346
2072825,6,204,-54,f2699bba2ba23cf1,0,50083a017c214a110aad32823d9fb346
2090437,6,204,-54,f2699bba2ba23cf1,0,50083a017c214a110aad32823d9fb346
2108057,6,204,-85,6a9bd343d01f977c,0,50003a017c214a110aadf2823d9fc3f2
2125676,6,204,-56,f2699bba2ba23cf1,0,50083a017c214a110aad32823d9fb346
2143299,6,204,-58,f2699bba2ba23cf1,0,50083a017c214a110aad32823d9fb346
2160917,6,204,-57,f2699bba2ba23cf1,0,50083a017c214a110aad32823d9fb346
2178537,6,204,-85,6a9bd343d01f977c,0,50083a017c214a110aadf2823d9fc3f2
2196157,6,204,-56,f2699bba2ba23cf1,0,50083a017c214a110aad32823d9fb346
2213777,6,204,-87,6a9bd343d01f977c,0,50083a017c214a110aadf2823d9fc3f2
2232496,6,94,-51,76e24379c30bf675,0,0842000001000ccccccd32823d9fb347
2248839,6,211,-80,6a9bd343d01f977c,0,80000000fffffffffffff2823d9fc3f2
2266465,6,246,-79,0783e62878fc71a6,0,80000000fffffffffffff2823d9fc3f3
2284082,6,250,-80,6e8fb524b5e043bc,0,80000000fffffffffffff2823d9fc3f4
2301702,6,94,-81,0783e62878fc71a6,0,0842000001000ccccccdf2823d9fc3f3
2319147,6,210,-51,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
2336769,6,246,-49,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
2354401,6,250,-51,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
2372005,6,80,-85,46bb505a1c451da3,0,40000000ffffffffffff98d863c1d1fe
