ts_us,channel,len,rssi,mac_hash,eapol,head
560845,1,284,-79,ed1615538a1a3ab6,0,080200003333000000fb52823d9fb568
577198,1,264,-65,023640d3761a5b89,0,0802000001005e0000fbd2823d9fc560
594066,1,284,-64,023640d3761a5b89,0,080200003333000000fbd2823d9fc560
611339,1,264,-65,b6b45eb6b88633ea,0,0802000001005e0000fbb2823d9fb98e
628611,1,284,-65,b6b45eb6b88633ea,0,080200003333000000fbb2823d9fb98e
645885,1,264,-57,629dcb66039b444b,0,0802000001005e0000fbb2823d9fbdde
663156,1,284,-57,629dcb66039b444b,0,080200003333000000fbb2823d9fbdde
680605,1,122,-57,629dcb66039b444b,0,0802000001005e0000fbb2823d9fbdde
698051,1,142,-57,629dcb66039b444b,0,080200003333000000fbb2823d9fbdde
715499,1,122,-65,b6b45eb6b88633ea,0,0802000001005e0000fbb2823d9fb98e
732945,1,142,-79,ed1615538a1a3ab6,0,080200003333000000fb52823d9fb568
750796,1,210,-63,023640d3761a5b89,0,80000000ffffffffffffd2823d9fc560
767834,1,246,-64,663310e9e9be7977,0,80000000ffffffffffffd2823d9fc561
785285,1,250,-63,3d3bf68dfb62f901,0,80000000ffffffffffffd2823d9fc562
802728,1,210,-79,ed1615538a1a3ab6,0,80000000ffffffffffff52823d9fb568
820174,1,246,-79,a28bc888445fb38f,0,80000000ffffffffffff52823d9fb569
837619,1,250,-79,ccdc32fb34119c13,0,80000000ffffffffffff52823d9fb56a
855067,1,250,-57,01c2404fc2fcb67c,0,80000000ffffffffffffb2823d9fbdd0
872511,1,210,-56,629dcb66039b444b,0,80000000ffffffffffffb2823d9fbdde
889959,1,246,-56,f07c40bc3d66fe06,0,80000000ffffffffffffb2823d9fbddf
907404,1,250,-69,6df7e500984ef6fc,0,80000000ffffffffffffb2823d9fb980
925258,1,204,-93,8a485460cb3b8810,0,50083a01f66c5aae1b3292823d9fb3dc
942303,1,210,-60,629dcb66039b444b,0,80000000ffffffffffffb2823d9fbdde
959745,1,246,-60,f07c40bc3d66fe06,0,80000000ffffffffffffb2823d9fbddf
977190,1,204,-60,629dcb66039b444b,0,50083a014a08d46a83f7b2823d9fbdde
994647,1,250,-70,6df7e500984ef6fc,0,80000000ffffffffffffb2823d9fb980
1012082,1,210,-70,b6b45eb6b88633ea,0,80000000ffffffffffffb2823d9fb98e
1029705,1,246,-70,1b9ce44c5d2d5e90,0,80000000ffffffffffffb2823d9fb98f
1047323,1,204,-60,629dcb66039b444b,0,50083a014a08d46a83f7b2823d9fbdde
1064946,1,204,-60,629dcb66039b444b,0,50083a014a08d46a83f7b2823d9fbdde
1082562,1,210,-65,023640d3761a5b89,0,80000000ffffffffffffd2823d9fc560
1100587,1,219,-89,8e5828cf75f765db,0,40000000ffffffffffff24e85387d052
1117799,1,204,-52,629dcb66039b444b,0,50003a0124e85387d052b2823d9fbdde
1135421,1,204,-52,023640d3761a5b89,0,50003a0124e85387d052d2823d9fc560
1153040,1,219,-89,8e5828cf75f765db,0,40000000ffffffffffff24e85387d052
1170661,1,250,-52,01c2404fc2fcb67c,0,80000000ffffffffffffb2823d9fbdd0
