ts_us,channel,len,rssi,mac_hash,eapol,head
499657,1,204,-57,023640d3761a5b89,0,50003a0100127b578b6ed2823d9fc560
515761,1,204,-58,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
532817,1,204,-77,ed1615538a1a3ab6,0,50003a0100127b578b6e52823d9fb568
550088,1,204,-59,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
567362,1,204,-59,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
584641,1,204,-60,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
602312,1,204,-58,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
619176,1,204,-58,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
636455,1,204,-58,023640d3761a5b89,0,50003a0100127b578b6ed2823d9fc560
653726,1,204,-92,8a485460cb3b8810,0,50083a0100127b578b6e92823d9fb3dc
671000,1,204,-59,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
688444,1,210,-57,023640d3761a5b89,0,80000000ffffffffffffd2823d9fc560
705892,1,246,-57,663310e9e9be7977,0,80000000ffffffffffffd2823d9fc561
723337,1,250,-57,3d3bf68dfb62f901,0,80000000ffffffffffffd2823d9fc562
740786,1,204,-57,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
758228,1,204,-57,023640d3761a5b89,0,50083a0100127b578b6ed2823d9fc560
776079,1,117,-63,7c7d56211a8b28f2,0,40000000ffffffffffffe233a552dee1
793121,1,204,-58,b6b45eb6b88633ea,0,50003a01e233a552dee1b2823d9fb98e
810569,1,204,-61,629dcb66039b444b,0,50003a01e233a552dee1b2823d9fbdde
828013,1,204,-84,ed1615538a1a3ab6,0,50083a01e233a552dee152823d9fb568
845460,1,204,-92,8a485460cb3b8810,0,50083a01e233a552dee192823d9fb3dc
862905,1,204,-55,023640d3761a5b89,0,50003a01e233a552dee1d2823d9fc560
880355,1,204,-92,d622bf09ed0ec9b5,0,50003a01e233a552dee1b2823d9fb0bd
897798,1,117,-69,7c7d56211a8b28f2,0,40000000ffffffffffffe233a552dee1
915248,1,204,-61,629dcb66039b444b,0,50003a01e233a552dee1b2823d9fbdde
932691,1,204,-55,023640d3761a5b89,0,50003a01e233a552dee1d2823d9fc560
950544,1,250,-67,01c2404fc2fcb67c,0,80000000ffffffffffffb2823d9fbdd0
967582,1,210,-67,629dcb66039b444b,0,80000000ffffffffffffb2823d9fbdde
985031,1,246,-66,f07c40bc3d66fe06,0,80000000ffffffffffffb2823d9fbddf
1002475,1,250,-57,6df7e500984ef6fc,0,80000000ffffffffffffb2823d9fb980
1020099,1,210,-57,b6b45eb6b88633ea,0,80000000ffffffffffffb2823d9fb98e
1037715,1,246,-57,1b9ce44c5d2d5e90,0,80000000ffffffffffffb2823d9fb98f
1055339,1,98,-74,a28bc888445fb38f,0,08420000ffffffffffff52823d9fb569
1072780,1,98,-57,663310e9e9be7977,0,08420000ffffffffffffd2823d9fc561
