ts_us,channel,len,rssi,mac_hash,eapol,head
556345,1,106,-81,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
572516,1,106,-81,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
589571,1,80,-78,46bb505a1c451da3,0,40000000ffffffffffff98d863c1d1fe
606640,1,106,-80,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
624579,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f925571f2823d9fb944
641318,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f925571f2823d9fb944
658459,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f925571f2823d9fb944
675820,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f925571f2823d9fb944
693270,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f925571f2823d9fb944
710713,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
728160,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
745606,1,106,-80,e8c5cf156aff9e47,0,8842300054f15f92554cf2823d9fb944
763053,1,106,-80,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
780497,1,106,-80,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
798609,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
815523,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
832837,1,106,-80,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
850281,1,106,-79,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
867728,1,106,-79,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
885175,1,106,-78,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
902621,1,106,-78,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
920065,1,106,-79,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
937514,1,106,-79,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
954959,1,106,-79,e8c5cf156aff9e47,0,88423c0054f15f92554cf2823d9fb944
972812,1,210,-60,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
989849,1,246,-60,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
1007299,1,250,-60,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
1024920,1,132,-53,8c6255171cd63f97,0,0802000033330000001632823d9fc366
