ts_us,channel,len,rssi,mac_hash,eapol,head
532830,1,246,-67,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
548960,1,250,-67,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
566035,1,210,-67,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
583307,1,106,-79,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
600934,1,106,-79,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
617880,1,106,-79,e8c5cf156aff9e47,0,884a3c0054f15f92554cf2823d9fb944
635127,1,210,-82,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
652398,1,246,-83,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
669676,1,375,-73,98240d6dced69540,0,08020000ffffffffffffb2823d9fb1dd
687118,1,201,-72,98240d6dced69540,0,0802000001005e7ffffab2823d9fb1dd
704835,1,150,-85,aea7d1ab30ae1e9d,0,08420000333300010002f2823d9fb943
722008,1,150,-71,ec0737fa706cfca5,0,08420000333300010002b2823d9fb1d0
739456,1,250,-66,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
756902,1,210,-88,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
774351,1,246,-87,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
791795,1,250,-88,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
809696,1,141,-81,a8da6782170c335b,0,0802000001005e0000fbf2823d9fb942
826684,1,161,-81,a8da6782170c335b,0,080200003333000000fbf2823d9fb942
844136,1,141,-69,98240d6dced69540,0,0802000001005e0000fbb2823d9fb1dd
861578,1,161,-69,98240d6dced69540,0,080200003333000000fbb2823d9fb1dd
879025,1,106,-81,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
896487,1,165,-71,98240d6dced69540,0,0802000001005e7ffffab2823d9fb1dd
913920,1,125,-71,98240d6dced69540,0,0802000001005e0000fbb2823d9fb1dd
931363,1,145,-71,98240d6dced69540,0,080200003333000000fbb2823d9fb1dd
948811,1,246,-70,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
966256,1,250,-70,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
984112,1,82,-71,98240d6dced69540,0,08020000ffffffffffffb2823d9fb1dd
1000972,1,246,-64,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
1018596,1,250,-65,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
1036215,1,210,-64,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
1053838,1,204,-81,8c6255171cd63f97,0,50003a014c1d963b7dec32823d9fc366
1071454,1,204,-82,8c6255171cd63f97,0,50083a014c1d963b7dec32823d9fc366
1089075,1,210,-82,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
1106696,1,246,-82,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
1124317,1,250,-81,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
1141933,1,82,-81,8c6255171cd63f97,0,08020000ffffffffffff32823d9fc366
1159749,1,246,-66,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
1176998,1,250,-64,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
1194624,1,210,-65,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
1212239,1,246,-88,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
1229861,1,250,-87,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
1247480,1,250,-85,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
1265102,1,246,-56,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
1282725,1,250,-56,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
1300337,1,210,-56,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
1319118,1,204,-84,8c6255171cd63f97,0,50083a01be1294ae281432823d9fc366
1335580,1,78,-63,98240d6dced69540,0,0802000001000ccccccdb2823d9fb1dd
1353070,1,204,-84,8c6255171cd63f97,0,50083a01be1294ae281432823d9fc366
1370643,1,210,-72,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
1388264,1,246,-72,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
1405882,1,250,-72,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
1423504,1,204,-84,8c6255171cd63f97,0,50083a01be1294ae281432823d9fc366
1441122,1,106,-74,e8c5cf156aff9e47,0,884a300054f15f92554cf2823d9fb944
1458762,1,28,-92,20bdbf5ac9ae6de6,0,48113c00f2823d9fb942aea6473ab432
1476188,1,162,-28,6dd10699ef284ba0,0,40000000ffffffffffff96d90e7cdab0
1494324,6,28,-89,035e5ccc5401791f,0,48113c00f2823d9fc3f2463ea0b543f2
1511254,6,118,-70,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
1528918,6,162,-29,6dd10699ef284ba0,0,40000000ffffffffffff96d90e7cdab0
1546495,6,106,-70,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
1564799,6,254,-77,a8e68be227b73f34,0,80000000ffffffffffff0cefafc31644
1582405,6,329,-35,febc07890657a98b,0,d0000000ffffffffffffe649742af571
1600028,6,204,-85,4f35ec1f71d7bf89,0,50003a014a04ff0c4781d2823d9fba8f
1617646,6,161,-71,6e8fb524b5e043bc,0,084200003333000000fbf2823d9fc3f4
1635270,6,141,-71,6e8fb524b5e043bc,0,0842000001005e0000fbf2823d9fc3f4
1652886,6,106,-70,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
1670968,6,106,-75,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
1688139,6,210,-69,6a9bd343d01f977c,0,80000000fffffffffffff2823d9fc3f2
1705747,6,246,-68,0783e62878fc71a6,0,80000000fffffffffffff2823d9fc3f3
1723364,6,250,-69,6e8fb524b5e043bc,0,80000000fffffffffffff2823d9fc3f4
1740985,6,86,-76,6a9bd343d01f977c,0,08020000fffffffffffff2823d9fc3f2
1758428,6,210,-50,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
1776053,6,246,-50,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
1793671,6,250,-51,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
1811290,6,86,-52,f2699bba2ba23cf1,0,08020000ffffffffffff32823d9fb346
1828733,6,42,-92,1b785ed479137769,0,b0003a01f2823d9fc3f238a5c9746835
1846588,6,204,-73,6a9bd343d01f977c,0,50083a011a87436c325df2823d9fc3f2
1863800,6,204,-73,6a9bd343d01f977c,0,50083a011a87436c325df2823d9fc3f2
1881421,6,204,-73,6a9bd343d01f977c,0,50083a011a87436c325df2823d9fc3f2
1899040,6,204,-73,6a9bd343d01f977c,0,50083a011a87436c325df2823d9fc3f2
1916665,6,204,-73,6a9bd343d01f977c,0,50083a011a87436c325df2823d9fc3f2
1934281,6,254,-78,a8e68be227b73f34,0,80000000ffffffffffff0cefafc31644
1951902,6,58,-75,14ff0ae60ee2bf4e,0,40000000ffffffffffff1a87436c325d
1969346,6,58,-75,14ff0ae60ee2bf4e,0,40000000ffffffffffff1a87436c325d
1986795,6,204,-75,6a9bd343d01f977c,0,50003a011a87436c325df2823d9fc3f2
