ts_us,channel,len,rssi,mac_hash,eapol,head
774899,1,204,-96,8a485460cb3b8810,0,50003a01727cb97f89ce92823d9fb3dc
830928,1,240,-96,6e7eeef052849f0e,0,50003a0124e853873ef492823d9fb3dd
844034,1,240,-96,6e7eeef052849f0e,0,50083a0124e853873ef492823d9fb3dd
879805,1,204,-94,8a485460cb3b8810,0,50003a0124e853873ef492823d9fb3dc
925701,1,204,-96,8a485460cb3b8810,0,50003a0124e853873ef492823d9fb3dc
936606,1,204,-93,8a485460cb3b8810,0,50083a0124e853873ef492823d9fb3dc
954131,1,204,-94,8a485460cb3b8810,0,50083a0124e853873ef492823d9fb3dc
971435,1,204,-94,8a485460cb3b8810,0,50083a0124e853873ef492823d9fb3dc
988883,1,204,-93,8a485460cb3b8810,0,50083a0124e853873ef492823d9fb3dc
1007897,1,240,-93,6e7eeef052849f0e,0,50003a0124e853873ef492823d9fb3dd
1024055,1,240,-94,6e7eeef052849f0e,0,50083a0124e853873ef492823d9fb3dd
1041568,1,240,-94,6e7eeef052849f0e,0,50083a0124e853873ef492823d9fb3dd
1108853,1,204,-94,8a485460cb3b8810,0,50003a01dc03986c98d892823d9fb3dc
1123561,1,204,-97,8a485460cb3b8810,0,50083a01dc03986c98d892823d9fb3dc
1137628,1,204,-93,8a485460cb3b8810,0,50083a01dc03986c98d892823d9fb3dc
1155143,1,204,-94,8a485460cb3b8810,0,50083a01dc03986c98d892823d9fb3dc
1178401,1,228,-88,7b0577f088282b32,0,80000000ffffffffffff60def4c1689e
1315388,6,329,-49,896d30eddee7e066,0,d0000000ffffffffffff226c2dc1c0ee
1341781,6,329,-61,febc07890657a98b,0,d0000000ffffffffffffe649742af571
1363024,6,625,-67,febc07890657a98b,0,d0000000ffffffffffffe649742af571
1383361,6,507,-63,febc07890657a98b,0,080000003333000000fbe649742af571
1394777,6,625,-53,896d30eddee7e066,0,d0000000ffffffffffff226c2dc1c0ee
1428918,6,329,-54,896d30eddee7e066,0,d0000000ffffffffffff226c2dc1c0ee
1441735,6,192,-92,49e142dfd5013791,0,50003a01ea7e117e02882c054779da72
1457700,6,192,-91,49e142dfd5013791,0,50083a01ea7e117e02882c054779da72
1475213,6,192,-92,49e142dfd5013791,0,50083a01ea7e117e02882c054779da72
1492901,6,192,-92,49e142dfd5013791,0,80003a01ffffffffffff2c054779da72
1540968,6,329,-63,896d30eddee7e066,0,d0000000ffffffffffff226c2dc1c0ee
1556442,6,192,-93,49e142dfd5013791,0,50003a017ab0d05b56d62c054779da72
1569781,6,192,-94,49e142dfd5013791,0,50083a017ab0d05b56d62c054779da72
1587256,6,192,-93,49e142dfd5013791,0,50083a017ab0d05b56d62c054779da72
1604883,6,192,-91,49e142dfd5013791,0,50083a017ab0d05b56d62c054779da72
1622786,6,192,-92,49e142dfd5013791,0,50003a017ab0d05b56d62c054779da72
1640117,6,192,-93,49e142dfd5013791,0,50083a017ab0d05b56d62c054779da72
1657736,6,192,-92,49e142dfd5013791,0,50083a017ab0d05b56d62c054779da72
1675361,6,192,-94,49e142dfd5013791,0,50083a017ab0d05b56d62c054779da72
1692977,6,192,-92,49e142dfd5013791,0,50083a017ab0d05b56d62c054779da72
1710597,6,192,-92,49e142dfd5013791,0,50083a017ab0d05b56d62c054779da72
